epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr,ep_time_sec
1,3.7579077781010506,3.7313483079274494,0.9895988112927192,0.9156976744186046,0.8599717114568599,0.07452380952380941,0.09646381578947368,1.03627451463164,7.464101615137756e-05,1116.3
2,3.737038352640904,3.7343392431735993,0.9823399558498896,0.8977871443624869,0.8682824025289778,0.07059859154929565,0.0919296116504855,0.985105413622333,6.0000000000000015e-05,1134.1
3,3.7218286844940693,3.7835901603102684,0.9823321554770318,0.9077029840388618,0.85657104736491,0.0694954128440368,0.09170560747663568,0.9841440828396952,4.000000000000001e-05,1158.9
4,3.7183997750781073,3.7653739317408146,0.9851239669421488,0.91437802907916,0.8859934853420196,0.06598939929328622,0.09168198529411788,1.0249460877891023,2.0000000000000015e-05,1160.9
5,3.718691523869832,3.754552035961511,0.9906382978723404,0.9072847682119205,0.8853556485355648,0.06993613138686132,0.09612476370510414,1.0449159530545937,5.358983848622454e-06,1149.1
6,3.6985595497501085,3.7291421798559337,0.9922879177377891,0.9109075770191507,0.8814691151919866,0.06745886654478976,0.09687500000000017,1.045031533766237,0.0,1184.3
