epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr
1,2.8921564535101254,2.6145915409287217,0.7384615384615384,0.742489977483662,0.8214476202428389,0.09193047337279002,0.12178405011077488,0.7674663787293464,0.0004809698831278217
2,2.558935653042793,2.5606848286879362,0.7382979770635428,0.7703928356842437,0.8276422764227642,0.08476565401471454,0.10962105183619061,0.7787776963901836,0.0004267766952966369
3,2.5103882144490877,2.504268672520401,0.739134719621563,0.8165590811285873,0.8219389012071938,0.08388509501188388,0.10665792431623401,0.7925442339857813,0.00034567085809127253
4,2.477772372941176,2.5049505203634523,0.7383706620723604,0.8321122754953785,0.8218248509857863,0.0835036035366751,0.10716357955814537,0.7974359295178416,0.00025000000000000006
5,2.4586538361152015,2.4887805748900904,0.7383161469741343,0.8026284631778355,0.8228206074019426,0.07742292373507012,0.103679766885844,0.7879217391846375,0.0001543291419087276
6,2.4456417146245637,2.4831999552325232,0.7382616399251895,0.8370079470608244,0.8207298374731677,0.07746601152653154,0.10384658496488801,0.7986664748197271,7.322330470336315e-05
7,2.4368163329005244,2.480886002042214,0.7382798080472499,0.8216828773141837,0.8341214534594327,0.07590161516336602,0.10317395196181825,0.7980280462736221,1.9030116872178323e-05
8,2.4314604566693307,2.4919078246843553,0.7382434726972955,0.8155106695879227,0.8215016960547628,0.07536986603857482,0.10424447585746129,0.791751946113327,0.0
