epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr,ep_time_sec
1,2.944935219415029,2.565587113061499,0.8839598997493734,0.6407447318007663,0.8023397349202056,0.08851723815753103,0.1277749683944482,0.775681455490115,0.0004809698831278217,1013.7
2,2.669586781740189,2.4609608105633374,0.9151862464183381,0.6346771919932338,0.7800174737893161,0.09245735607676521,0.125890071205708,0.7766269707336293,0.0004267766952966369,1015.8
3,2.592807505583763,2.485209380160331,0.9080216566058871,0.6332895600787918,0.7738736272093943,0.09224987039917673,0.12381869643841116,0.7717282812980244,0.00034567085809127253,1018.4
4,2.5583751481850943,2.405789700543158,0.9307041511670013,0.674434263298106,0.8171411605581763,0.09453945655005491,0.1206661283811174,0.8074265250077612,0.00025000000000000006,1015.7
5,2.539560325415929,2.3830897348869495,0.9281513014655705,0.6639248943472218,0.7822892016440404,0.08791225222146871,0.1189480178315668,0.791455132485611,0.0001543291419087276,1014.9
6,2.525559984588623,2.4097403680416174,0.9236911872744115,0.6563652620990277,0.7862986323612066,0.08874201787995516,0.11834048129617536,0.7887850272448819,7.322330470336315e-05,1012.5
7,2.5152726539214454,2.388554296977844,0.9297483134405813,0.6531567080045095,0.7646649102086551,0.08556356261327885,0.11914455445545691,0.7825233105512487,1.9030116872178323e-05,1015.7
8,2.50879113454024,2.3835526999114913,0.9302823064207695,0.6640810780206092,0.7958545293690165,0.08785915252792796,0.11952715578848211,0.7967393046034651,0.0,1016.1
