epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr,ep_time_sec
1,2.495826375253995,2.32977521695718,0.9317695120745889,0.7146739130434782,0.8114457241671831,0.0894664923954444,0.12091073582630817,0.8192963830950833,0.0004809698831278217,1081.9
2,2.325505370203654,2.321898737585352,0.9311108970035649,0.748828057179235,0.8123641175914548,0.09860306051473185,0.11828019548523391,0.8307676905914182,0.0004267766952966369,1083.1
3,2.2940064511855445,2.329114117723925,0.9385087891263152,0.7921406411582214,0.8205360904936311,0.09819605981486818,0.1125770263864859,0.8503951735927225,0.00034567085809127253,1080.0
4,2.2729837479432424,2.2767037318680736,0.9390694958146778,0.7721865334285034,0.8205797193674631,0.08428400862733694,0.11445715393564564,0.8439452495368815,0.00025000000000000006,1078.8
5,2.2571732913653055,2.2725848015593946,0.9435449157312671,0.7878844073558956,0.7932957432306835,0.08932802447827497,0.11560767007733701,0.8415750221059488,0.0001543291419087276,1080.2
6,2.2443875027259192,2.2830120335968824,0.9403395311236864,0.8066312167657179,0.8201176359576008,0.088279432294098,0.114936335046418,0.8556961279490016,7.322330470336315e-05,1080.1
7,2.2347091347694397,2.25544427062208,0.9435265747710757,0.7853986318784429,0.8175376439326838,0.08467704640050025,0.11305138523449501,0.8488209501940674,1.9030116872178323e-05,1085.7
8,2.228788335378965,2.255335563020909,0.9440240083507307,0.7966112138016019,0.8180813090311778,0.08588831309460082,0.11385821298943113,0.8529055103945035,0.0,1079.3
