epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr
1,2.5516937206851114,2.2780900480632096,0.9463526333006216,0.7082582041110711,0.7973349962256719,0.09602067993106636,0.1241911583106991,0.8173152778791216,0.0004877641290737884
2,2.237329681523641,2.2082123959694053,0.948138699607264,0.7837655569860831,0.7483521222201687,0.08242725281601501,0.11183322357589934,0.826752126271172,0.0004522542485937368
3,2.166183639658822,2.3014761648606616,0.9183140885854216,0.7471167894556872,0.7291913151920185,0.07612964966297195,0.11309857919663265,0.7982073977443758,0.0003969463130731183
4,2.110515180153317,3.2161733130135044,0.5264708771240546,0.4287792018907372,0.3850569999179857,0.09358702565189517,0.12105431309903752,0.4467690263109258,0.00032725424859373687
5,2.0739186848693425,2.7965894723535563,0.7464382703154376,0.5956427175876433,0.6073118279569893,0.085815076123278,0.11608292557300355,0.6497976052866901,0.00025
6,2.05344769065645,2.4258676823889727,0.8655814480492503,0.6983998379582742,0.7019596785563232,0.08290313225057455,0.11719220727053326,0.7553136548546159,0.00017274575140626317
7,2.041227870109346,2.6064358667981766,0.828280463537399,0.6807357764152289,0.6647936027663712,0.08703393380812197,0.1177828348504499,0.724603280906333,0.00010305368692688175
8,2.0331017869578467,2.438582757508962,0.8857715430861723,0.7222774574136674,0.7293170460855081,0.07858584931632041,0.11378473543966323,0.7791220155284493,4.774575140626317e-05
9,2.026471805402968,2.2954777578675567,0.9387697417234921,0.7781857658290494,0.7920832071089569,0.07374446085671585,0.10982916879143366,0.8363462382204995,1.2235870926211617e-05
