epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr
1,0.719244732650121,0.7503505872670198,0.7382616399251895,0.7518787374884077,0.7668056279312142,0.3067306056481793,0.3110091743119269,0.7523153351149371,0.0004809698831278217
2,0.7018874846383929,0.7484884079211829,0.7384978952809984,0.7757684197073297,0.7397011046133853,0.3148331960461292,0.33587271609276315,0.7513224732005711,0.0004267766952966369
3,0.6858538323322932,0.7213884370195316,0.7390254717445928,0.805213985295534,0.7298097251585625,0.3140610047846878,0.3025264856811774,0.7580163940662298,0.00034567085809127253
4,0.6728416082859039,0.7170926268168253,0.7397726432076542,0.8082297356163926,0.7686897106109325,0.3317723880597044,0.340228758169932,0.7722306964783264,0.00025000000000000006
5,0.6645558233603835,0.7217185862820963,0.7401924500370096,0.8125941838468691,0.733996074210093,0.3529711174242357,0.32582815734989795,0.7622609026979905,0.0001543291419087276
6,0.6583470449527105,0.7074026907603467,0.7408504963698326,0.810647229182259,0.7395611941274564,0.3652697495182937,0.3475307277389685,0.7636863065598494,7.322330470336315e-05
7,0.6538896061023076,0.7123105036216404,0.7416013645465108,0.7946352633300621,0.7440560360419614,0.37245595257696923,0.33541500928135837,0.7600975546395113,1.9030116872178323e-05
8,0.6511550174792607,0.7266497400112183,0.7414730598121602,0.7852772652228805,0.7255245311853291,0.3715124907246999,0.3425157977883099,0.75075828540679,0.0
