epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr,ep_time_sec
1,4.557301237331173,4.608197708519137,0.9812734082397002,0.8586826347305389,0.8453731343283583,0.09173640167364056,0.11334745762711905,0.9454061616830054,9.330127018922194e-05,771.6
2,4.2920586601887445,4.383562640527661,0.9886174347584676,0.8846723186650518,0.873367102106105,0.07559324612108169,0.09910714285714053,1.0273123255993486,7.500000000000001e-05,1038.5
3,4.162955270510684,4.166411985953649,0.9887699138156176,0.8868516890619113,0.8402395209580839,0.06884027187765372,0.09603762827821877,1.01186109208234,5e-05,1042.5
4,4.0850397311748665,4.309742255644365,0.9888624464540695,0.8684607869260147,0.8733060482037289,0.06536612804254233,0.09298062903561431,1.0192127845329824,2.500000000000001e-05,1119.3
5,4.0178042304193395,4.02493779531547,0.9899846611928178,0.8853448275862069,0.870521522467566,0.06457156767283119,0.09079648637978331,1.026430874205809,6.698729810778065e-06,1162.4
6,3.9809149818156633,3.998198794391888,0.9903554206108233,0.8786702666216673,0.8702822169330161,0.06341943537545398,0.09138015237350683,1.0230295548689652,0.0,1170.9
