epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr
1,2.172162517507871,2.0968946608508356,0.9838774959525095,0.783387479146545,0.833760075865339,0.06801726070388235,0.09852707006370337,0.8670083503214645,0.0004809698831278217
2,2.0886970635930697,2.0730015725462323,0.9900679909345421,0.7595021115803512,0.815251572327044,0.07101075504829275,0.09785438765671121,0.8549405582806457,0.0004267766952966369
3,2.0686272985100747,2.0604078626844715,0.9905214857487357,0.7827132915198901,0.7995009060931048,0.07599890230516507,0.10051092449465894,0.8575785611205768,0.00034567085809127253
4,2.053705562341213,2.0610085419740325,0.9888468365877349,0.8081520439875687,0.8191030154599725,0.06984173938766909,0.09806959186725377,0.872033965345092,0.00025000000000000006
5,2.0433639806747435,2.046978521955228,0.9891577993353696,0.8250328655721666,0.833643007556051,0.07024753575928733,0.10099368499258043,0.8826112241545291,0.0001543291419087276
6,2.034761027618249,2.057418361721177,0.9917791739072316,0.790197042909638,0.7790567500071761,0.07127059685097556,0.0991691230655955,0.8536776556080152,7.322330470336315e-05
7,2.0281734489003815,2.0467919325789494,0.99098555678429,0.8226989198235204,0.8039034289295411,0.07058399289888773,0.09810861979360935,0.8725293018457839,1.9030116872178323e-05
8,2.024025865483284,2.04264248075849,0.9907180913447039,0.8011682105138946,0.808723525358737,0.06969769497017932,0.09917024744407532,0.8668699424057785,0.0
