trace_name,distance_km,source_depth_km,pick_err_p,pick_err_s,init_tt,refined_tt,rho_mean,rho_peak,rho_p_lag,rho_s_lag,env_p_lag,env_s_lag,p_prob_lag,s_prob_lag,gamma_p0,omega_p0,gamma_s0,omega_s0,kernel_vp,kernel_vs,vp_mean,vs_mean,vpvs_mean,vp_std_layers,vs_std_layers
109C.TA_20060723155859_EV,102.08999633789062,1.0,0.15000000000000036,0.22499999999999787,277.2186584472656,2.2376627839548746e-06,66.84674835205078,96.62926483154297,-0.7422090530395504,-2.2290683746337905,0.6845745086669925,1.3754371643066392,-0.516927337646484,-2.0788799285888686,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,2.296138286590576,2.207381248474121,1.3390696048736572,0.9541009664535522,1.1064114570617676
109C.TA_20070610234242_EV,100.91000366210938,8.4399995803833,0.3000000000000007,0.14999999999999858,19.147232055664062,5.911428451538086,67.278564453125,96.79734802246094,-2.0174907684326175,-2.2286933898925767,-1.4167398452758793,3.1780658721923842,-1.9423970222473148,-2.078504943847655,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,9.573324203491211,4.572270393371582,2.948814868927002,5.2265625,3.5150229930877686
109C.TA_20070723172934_EV,101.19000244140625,11.289999961853027,0.0,0.07499999999999929,9.925007820129395,0.3183441460132599,66.4625244140625,104.32281494140625,-0.06636438369750941,-2.0797241210937507,1.6607946395874027,0.17309112548828054,-1.7935234069824215,-2.1548183441162116,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,7.669039249420166,3.869570255279541,2.486708164215088,4.211879253387451,2.761124610900879
109C.TA_20070728222626_EV,60.20000076293945,6.369999885559082,0.22499999999999964,0.15000000000000036,46.665069580078125,14.677271842956543,66.13273620605469,114.98433685302734,3.6896434783935543,-2.158479690551758,-0.06505050659179723,0.9203681945800781,3.5394550323486325,-1.5577287673950195,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,9.417590141296387,4.641441345214844,2.868863582611084,5.065058708190918,3.3836162090301514
109C.TA_20070831232704_EV,102.66999816894531,7.590000152587891,0.0,0.07499999999999929,0.9840385317802429,0.2825818657875061,69.07125091552734,81.08219909667969,-1.4204944610595707,-2.0813211441040025,1.8085418701171871,1.0726219177246108,-1.8710576534271244,-2.231508636474608,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,8.969849586486816,4.410653591156006,2.9210550785064697,4.772263526916504,3.284790277481079
109C.TA_20070904094710_EV,92.9000015258789,4.710000038146973,0.0,0.07500000000000107,45.60901641845703,45.605499267578125,65.36376953125,109.47206115722656,-0.9712453842163087,-2.233854675292969,-0.7459636688232423,2.572152709960937,-1.196527099609375,-2.233854675292969,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,5.152827262878418,2.672607660293579,1.9296811819076538,1.5028010606765747,0.7816081047058105
109C.TA_20070909141011_EV,25.950000762939453,9.6899995803833,0.07499999999999929,0.07499999999999929,76.06324768066406,13.242433547973633,66.50928497314453,91.86597442626953,0.23654556274414062,-1.3360141754150394,-1.4906134605407715,2.043209648132324,-2.1664581298828125,-1.3360141754150394,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,3.3798975944519043,1.7511560916900635,1.9795124530792236,1.5101265907287598,0.8106842041015625
109C.TA_20071010024825_EV,107.47000122070312,5.840000152587891,0.15000000000000036,0.15000000000000213,27.299026489257812,27.29900550842285,66.92786407470703,93.65790557861328,-1.943710899353027,-1.8526607513427749,2.1113580703735355,3.3288158416748033,-1.4180541992187496,-0.8764396667480483,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,5.149050712585449,2.6676266193389893,1.9318740367889404,1.5061111450195312,0.782421350479126
109C.TA_20080202071821_EV,106.18000030517578,5.480000019073486,0.44999999999999973,0.0,66.58384704589844,2.6429916033521295e-07,65.73934936523438,125.0860595703125,-0.22030673027038583,-1.781414413452147,3.5343865394592284,0.6215892791748061,-0.3704944610595704,-1.856508636474608,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,6.245284080505371,3.2422282695770264,1.925236463546753,1.3873100280761719,0.6993868350982666
109C.TA_20080623064635_EV,84.55000305175781,14.270000457763672,0.0,0.0,23.745487213134766,0.006454729475080967,66.6156997680664,101.20281982421875,-1.5682416915893551,-2.1566961288452156,3.16267147064209,3.250062179565429,-1.6433354377746578,-1.7812269210815437,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,6.07715368270874,3.724027156829834,2.0248892307281494,3.659430503845215,2.5953755378723145
109C.TA_20080623083348_EV,100.5199966430664,16.18000030517578,0.0,0.07499999999999929,59.57762145996094,0.0021217865869402885,65.77737426757812,106.91095733642578,-2.2415523529052734,-2.0766281127929673,3.3153934478759766,-1.9264396667480455,-2.2415523529052734,-1.4758762359619126,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,5.617680072784424,3.469731092453003,1.9650461673736572,3.5474119186401367,2.495950698852539
109C.TA_20111030211354_EV,76.80000305175781,14.289999961853027,0.0,0.07500000000000107,3.485328435897827,0.17223985493183136,66.27192687988281,98.51200866699219,-1.345400714874268,-1.8602632522583011,3.4606071472167965,1.0683971405029293,-1.5706821918487552,-2.235732460021973,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,4.527853965759277,2.389108657836914,1.9584267139434814,1.6567002534866333,0.9719361066818237
109C.TA_20130304231751_EV,124.37999725341797,15.960000038146973,0.15000000000000036,0.07499999999999929,50.08637619018555,0.7107505202293396,66.90359497070312,100.20967864990234,-1.3416460990905765,-2.0738109588623033,1.2115455627441403,-0.7221225738525376,-1.7922090530395511,-2.223999404907225,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,7.595686435699463,4.339422702789307,2.544950485229492,4.634896278381348,3.4703307151794434
109C.TA_20130603190424_EV,142.72000122070312,13.699999809265137,0.15000000000000036,0.07499999999999929,43.609031677246094,4.009908199310303,69.51764678955078,82.99327850341797,2.937389755249024,0.6313503265380866,-1.0425845146179196,3.2596366882324226,1.8109821319580082,-1.1709014892578118,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,9.436148643493652,4.970185279846191,4.309249401092529,5.533215522766113,4.572366714477539
109C.TA_20130617002306_EV,60.68000030517578,6.300000190734863,0.07500000000000018,0.07500000000000107,3.9545671939849854,0.0039320955984294415,66.7261962890625,98.12666320800781,3.6858879089355465,-1.5617650985717777,0.2315708160400387,2.418209648132324,-1.270306730270386,-1.8621400833129886,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,4.487366676330566,2.3800740242004395,2.020113706588745,1.854231595993042,1.0820295810699463
109C.TA_20130816035349_EV,111.56999969482422,8.970000267028809,0.07499999999999973,0.07499999999999929,1.8504714965820312,0.5713940858840942,67.30107879638672,98.27388000488281,0.6057256698608398,-2.0815086364746094,-2.097653365135193,1.0724334716796875,-0.8210576534271241,-1.856226921081543,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,5.519712448120117,2.8395493030548096,1.9370276927947998,1.4396370649337769,0.7132683992385864
109C.TA_20130827135719_EV,180.1699981689453,16.770000457763672,0.07500000000000018,0.07499999999999929,40.92524337768555,0.1988784819841385,66.744140625,121.74588775634766,0.9086356163024902,-0.5660209655761719,0.8335418701171875,-1.3920536041259766,0.983729362487793,-1.3920536041259766,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,9.257156372070312,4.899684429168701,4.442129611968994,5.473245620727539,4.5249199867248535
