epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr,ep_time_sec
1,3.6795909310421826,3.7914896454921987,0.994954591321897,0.9341317365269461,0.8708133971291866,0.07099358974358963,0.09989010989011002,1.051715755526351,1.7071067811865477e-05,1098.2
2,3.695492738027441,3.792764957561049,0.994954591321897,0.9313432835820895,0.8750000000000001,0.06923076923076911,0.10021978021978033,1.0524148304893293,1e-05,1079.1
3,3.6839641655045705,3.7852375451908555,0.994954591321897,0.9322709163346614,0.8679962013295346,0.0706730769230768,0.10092997811816211,1.0493767475303826,2.9289321881345257e-06,1080.0
4,3.6898773728181906,3.797644903493482,0.994954591321897,0.9322709163346614,0.8696479543292102,0.07019230769230754,0.10125820568927807,1.0502026240302202,0.0,1080.9
