epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr,ep_time_sec
1,11.342722600413053,7.0968598191668875,0.9283771532184951,0.8281150159744409,0.830379746835443,0.0912037037037046,0.10644054878048835,0.49152118013567725,2.5606601717798212e-05,2155.5
2,8.090224953686887,6.880128158144204,0.9257238774653799,0.8318584070796461,0.8605287146763902,0.08936170212766016,0.10280720338983114,0.4868431622208642,1.5e-05,1845.9
3,7.416739126211792,6.591640343768991,0.9398907103825137,0.8481345244351024,0.8646616541353382,0.08866171003717523,0.10192546583850975,0.6125073789027071,4.393398282201788e-06,1753.6
4,7.121856843524621,6.915891277439454,0.9307923771313941,0.856060606060606,0.8664850136239782,0.09017067003792707,0.10367924528301928,0.543230683463154,0.0,1736.1
