epoch,train_loss,val_loss,det_f1,p_f1,s_f1,score,lr
1,6.929963631587558,6.792387894957697,0.9195076367854611,0.0,0.0,0.3065025455951537,0.0009330127018922195
2,6.765998025491503,6.75294119412111,0.9231417550001622,0.0,0.0,0.3077139183333874,0.0007500000000000001
3,6.730953402943081,6.849733613993488,0.872905111230393,0.0,0.0,0.290968370410131,0.0005
4,6.691193176746369,7.001333214487317,0.8467848333620146,0.0,0.0,0.28226161112067155,0.0002500000000000001
5,6.655172460492452,7.060249097373856,0.8528408762499278,0.0,0.0,0.28428029208330924,6.698729810778065e-05
6,6.64154724767473,7.1930541356851,0.8571926968252122,0.0,0.0,0.28573089894173737,0.0
