epoch,train_loss,val_loss,det_f1,p_f1,s_f1,p_mae_sec,s_mae_sec,score,lr,ep_time_sec
1,3.8899037322738397,3.8771743996198786,0.994954591321897,0.9262536873156343,0.8779069767441862,0.06894904458598718,0.09933774834437098,1.0513235207281948,2.5606601717798212e-05,1716.0
2,3.885951949393658,4.01917206613641,0.9911308203991132,0.9182115594329335,0.8797399783315276,0.07375296912114007,0.10289408866995085,1.0476453919420976,1.5e-05,1180.7
3,3.8713484122872086,3.9873397066479637,0.9908814589665653,0.9206349206349207,0.8726919339164236,0.07095905172413784,0.10289532293986653,1.0452956461206568,4.393398282201788e-06,1153.5
4,3.864861756948649,4.04733664339239,0.9891411648568608,0.90715667311412,0.8609022556390977,0.07052238805970139,0.10267467248908317,1.0324006391051381,0.0,1186.4
